"price" "sqm" "age" "dist_center"
72.08 73.8 14.3 12.6
75.42 80.4 22.1 9.94
130.45 116.2 18 5.2
85.31 86.4 17.2 7.63
97.1 87.6 12.4 4.76
146.55 119.3 19.6 4.57
90.21 94.2 13.7 3.63
66.34 59.7 6.7 4.22
85.69 71.3 17 10.95
92.62 76.1 27.4 5.84
144.92 109.5 15.4 6.36
105.97 92.2 24.9 6.73
96.61 93 7.1 9.7
89.16 87.2 19.6 4.45
67.98 73.9 24.2 3.02
150.22 120.7 22.4 11.03
104.7 95 20.8 4.68
24.02 45.7 14.9 3.83
134.82 99 13.2 2.29
92.98 75.5 11.8 2.15
61.09 63.6 20.9 4.28
103.21 80.6 12.4 7.85
50.47 64.5 16.1 9.33
77.88 70.4 18 8.12
55.72 72.5 34.8 4.91
51.91 51.3 14.8 6.18
114.52 101.8 21.9 3.89
101.93 88.1 20.6 3.85
76.87 62.2 12.3 8.65
129.64 110.1 19.4 2.95
105.22 93.5 31.6 11.87
67.87 79.1 23.6 5.73
110.87 102.9 20.3 6.64
135.74 102.6 16.6 3.78
133.06 101.4 3.6 4.28
84.4 98.8 29.1 2.05
103.83 96.1 8.3 5.45
82.9 83.8 25.9 7.26
78.76 78.9 35.3 6.97
88.31 77.4 8.4 3.66
72.41 71.1 25.6 3.63
96.53 80.8 17.9 4.49
80.31 59.7 7.4 10.49
166.82 128.4 7.9 2.59
137.47 109.2 7.2 5.46
43.67 62.5 15.8 11.71
89.76 76.9 8.3 5.7
67.38 75.7 25.5 1.92
91.72 100.6 36.8 4.01
95.44 83.3 9.7 7.46
104.21 90.1 26.3 4.87
65.79 84.4 26.2 4.31
83.81 84.1 22.7 4.97
140.18 112.4 11.9 6.27
76.56 80.5 19 10.8
142.13 115.3 17.8 5.73
45.55 54 24.5 9.24
111.09 96.7 17 7.89
64.3 87.5 27.8 5.66
126.09 89.3 17 1.4
94.1 92.6 28.4 4.44
89.66 75 11.6 4.53
92.31 78.3 9.9 6.14
50.45 64.6 45.9 9.9
70.19 63.6 16.7 12.88
96.6 91.1 22.4 10.64
104.65 94 25.1 5.6
86.73 86.1 16.1 0.73
124.43 103.4 24.1 4.83
146.03 126 23 6.27
102.32 75.2 18.3 8.54
5.3 38.8 20.5 8.89
117.25 105.1 19.7 8.05
64.86 70.8 37 1.81
80.71 71.2 14.1 8.55
123.39 105.5 11.2 4.66
72.75 79.3 20.3 6.52
54.34 60.6 22.5 6.22
94 88.6 23.5 7.28
72.36 82.2 16.3 6.07
98.82 85.1 11.5 1
96.88 92.7 30.1 8.21
84.37 77.6 17.2 7.16
105.82 97.9 13.1 5.2
91.16 80.6 18.1 6.35
116.5 91.6 18.4 6.4
121.86 106.9 28.9 6.66
92.66 93.7 20.7 10.92
72.54 78.5 26 5.34
132.62 108 16 6.5
113.46 104.9 21.7 9.51
88.45 96 17.4 9.16
106.9 89.8 20.8 9.44
70.1 72.4 12.8 4.27
134.97 112.2 9.5 12.01
75.75 73 36 6.2
145.53 128.7 24.8 11.6
153.94 115.7 10 1.95
75.73 80.3 15.1 6.06
64.75 64.5 10.5 9.75
